T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.2, 0.3)","(0.5, 0.6)","(0.2, 0.3)",134,96,0.0268,0.0192,0.007600000000000003,5.7760000000000037e-05,38
"(0.2, 0.3)","(0.5, 0.6)","(0.1, 0.2)",43,74,0.0086,0.0148,-0.006200000000000001,3.844000000000001e-05,-31
"(0.2, 0.3)","(0.6, 0.7)","(0.1, 0.2)",15,28,0.003,0.0056,-0.0026,6.76e-06,-13
"(0.2, 0.3)","(0.6, 0.7)","(0.0, 0.1)",3,3,0.0006,0.0006,0.0,0.0,0
"(0.2, 0.3)","(0.7, 0.8)","(0.0, 0.1)",2,1,0.0004,0.0002,0.0002,4e-08,1
"(0.3, 0.4)","(0.0, 0.1)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.3, 0.4)","(0.0, 0.1)","(0.5, 0.6)",1,0,0.0002,0.0,0.0002,4e-08,1
"(0.3, 0.4)","(0.1, 0.2)","(0.5, 0.6)",5,20,0.001,0.004,-0.003,9e-06,-15
"(0.3, 0.4)","(0.1, 0.2)","(0.4, 0.5)",16,63,0.0032,0.0126,-0.0094,8.836e-05,-47
"(0.3, 0.4)","(0.2, 0.3)","(0.4, 0.5)",115,217,0.023,0.0434,-0.0204,0.00041616000000000005,-102
"(0.3, 0.4)","(0.2, 0.3)","(0.3, 0.4)",297,395,0.0594,0.079,-0.0196,0.00038416,-98
"(0.3, 0.4)","(0.3, 0.4)","(0.3, 0.4)",828,457,0.1656,0.0914,0.0742,0.00550564,371
"(0.3, 0.4)","(0.3, 0.4)","(0.2, 0.3)",474,321,0.0948,0.0642,0.030600000000000002,0.0009363600000000001,153
"(0.3, 0.4)","(0.4, 0.5)","(0.2, 0.3)",389,200,0.0778,0.04,0.03779999999999999,0.0014288399999999996,189
"(0.3, 0.4)","(0.4, 0.5)","(0.1, 0.2)",44,64,0.0088,0.0128,-0.004,1.6e-05,-20
"(0.3, 0.4)","(0.5, 0.6)","(0.1, 0.2)",30,23,0.006,0.0046,0.0014000000000000002,1.9600000000000007e-06,7
"(0.3, 0.4)","(0.5, 0.6)","(0.0, 0.1)",4,4,0.0008,0.0008,0.0,0.0,0
"(0.3, 0.4)","(0.6, 0.7)","(0.0, 0.1)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.4, 0.5)","(0.0, 0.1)","(0.5, 0.6)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.4, 0.5)","(0.0, 0.1)","(0.4, 0.5)",0,4,0.0,0.0008,-0.0008,6.4e-07,-4
"(0.4, 0.5)","(0.1, 0.2)","(0.4, 0.5)",1,37,0.0002,0.0074,-0.007200000000000001,5.184000000000001e-05,-36
"(0.4, 0.5)","(0.1, 0.2)","(0.3, 0.4)",9,64,0.0018,0.0128,-0.011000000000000001,0.00012100000000000003,-55
"(0.4, 0.5)","(0.2, 0.3)","(0.3, 0.4)",123,299,0.0246,0.0598,-0.035199999999999995,0.0012390399999999996,-176
"(0.4, 0.5)","(0.2, 0.3)","(0.2, 0.3)",193,354,0.0386,0.0708,-0.0322,0.00103684,-161
"(0.4, 0.5)","(0.3, 0.4)","(0.2, 0.3)",158,262,0.0316,0.0524,-0.0208,0.00043264,-104
"(0.4, 0.5)","(0.3, 0.4)","(0.1, 0.2)",21,72,0.0042,0.0144,-0.0102,0.00010404000000000001,-51
"(0.4, 0.5)","(0.4, 0.5)","(0.1, 0.2)",13,24,0.0026,0.0048,-0.0021999999999999997,4.8399999999999986e-06,-11
"(0.4, 0.5)","(0.4, 0.5)","(0.0, 0.1)",3,4,0.0006,0.0008,-0.0002000000000000001,4.0000000000000034e-08,-1
"(0.4, 0.5)","(0.5, 0.6)","(0.0, 0.1)",0,0,0.0,0.0,0.0,0.0,0
"(0.5, 0.6)","(0.0, 0.1)","(0.4, 0.5)",0,1,0.0,0.0002,-0.0002,4e-08,-1
"(0.5, 0.6)","(0.0, 0.1)","(0.3, 0.4)",0,3,0.0,0.0006,-0.0006,3.5999999999999994e-07,-3
"(0.5, 0.6)","(0.1, 0.2)","(0.3, 0.4)",4,52,0.0008,0.0104,-0.0096,9.215999999999998e-05,-48
"(0.5, 0.6)","(0.1, 0.2)","(0.2, 0.3)",16,141,0.0032,0.0282,-0.024999999999999998,0.0006249999999999999,-125
"(0.5, 0.6)","(0.2, 0.3)","(0.2, 0.3)",50,220,0.01,0.044,-0.033999999999999996,0.0011559999999999997,-170
"(0.5, 0.6)","(0.2, 0.3)","(0.1, 0.2)",14,85,0.0028,0.017,-0.0142,0.00020164000000000003,-71
"(0.5, 0.6)","(0.3, 0.4)","(0.1, 0.2)",6,40,0.0012,0.008,-0.0068000000000000005,4.6240000000000005e-05,-34
"(0.5, 0.6)","(0.3, 0.4)","(0.0, 0.1)",0,8,0.0,0.0016,-0.0016,2.56e-06,-8
"(0.5, 0.6)","(0.4, 0.5)","(0.0, 0.1)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.6, 0.7)","(0.0, 0.1)","(0.3, 0.4)",0,1,0.0,0.0002,-0.0002,4e-08,-1
"(0.6, 0.7)","(0.0, 0.1)","(0.2, 0.3)",0,0,0.0,0.0,0.0,0.0,0
"(0.6, 0.7)","(0.1, 0.2)","(0.2, 0.3)",0,59,0.0,0.0118,-0.0118,0.00013924,-59
"(0.6, 0.7)","(0.1, 0.2)","(0.1, 0.2)",4,71,0.0008,0.0142,-0.0134,0.00017956000000000002,-67
"(0.6, 0.7)","(0.2, 0.3)","(0.1, 0.2)",3,67,0.0006,0.0134,-0.0128,0.00016384,-64
"(0.6, 0.7)","(0.2, 0.3)","(0.0, 0.1)",0,7,0.0,0.0014,-0.0014,1.96e-06,-7
"(0.6, 0.7)","(0.3, 0.4)","(0.0, 0.1)",0,4,0.0,0.0008,-0.0008,6.4e-07,-4
"(0.7, 0.8)","(0.0, 0.1)","(0.2, 0.3)",0,4,0.0,0.0008,-0.0008,6.4e-07,-4
"(0.7, 0.8)","(0.0, 0.1)","(0.1, 0.2)",0,26,0.0,0.0052,-0.0052,2.704e-05,-26
"(0.7, 0.8)","(0.1, 0.2)","(0.1, 0.2)",0,39,0.0,0.0078,-0.0078,6.0839999999999993e-05,-39
"(0.7, 0.8)","(0.1, 0.2)","(0.0, 0.1)",0,16,0.0,0.0032,-0.0032,1.024e-05,-16
"(0.7, 0.8)","(0.2, 0.3)","(0.0, 0.1)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.8, 0.9)","(0.0, 0.1)","(0.1, 0.2)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.8, 0.9)","(0.0, 0.1)","(0.0, 0.1)",0,11,0.0,0.0022,-0.0022,4.84e-06,-11
"(0.8, 0.9)","(0.1, 0.2)","(0.0, 0.1)",0,22,0.0,0.0044,-0.0044,1.936e-05,-22
"(0.9, 1.0)","(0.0, 0.1)","(0.0, 0.1)",0,0,0.0,0.0,0.0,0.0,0
